CASE_NUMBER,Date,Location Description,Domestic,Beat,District,Ward,Community Area,Latitude,Longitude
hs227745,03/27/2010 04:50:00 AM,house,False,532,5.0,9.0,53.0,41.668569194,-87.620188694
hs335199,05/31/2010 03:44:00 AM,alley,False,1031,10.0,22.0,30.0,41.843515552,-87.718432905
hs440368,08/01/2010 12:32:00 PM,house,False,523,5.0,34.0,53.0,41.668028717,-87.63315841
hs460541,08/13/2010 01:03:00 PM,street,False,331,3.0,5.0,43.0,41.766249991,-87.575527839
hs501948,09/06/2010 06:55:00 PM,auto,False,1034,10.0,12.0,30.0,41.848287389,-87.693730312
hs586272,11/02/2010 05:30:00 AM,house,False,1711,17.0,39.0,12.0,41.995988144,-87.73619249
hs600811,11/05/2010 06:26:00 PM,street,False,732,7.0,6.0,68.0,41.766580389,-87.643201997
hs614692,11/14/2010 01:03:00 PM,vacant_lot,False,232,2.0,3.0,40.0,41.797478592,-87.622538713
ht202574,03/14/2011 01:38:00 PM,auto,False,531,5.0,9.0,50.0,41.685474655,-87.607964681
ht243538,04/10/2011 04:41:00 PM,auto,False,731,7.0,17.0,69.0,41.759145606,-87.630897008
ht305737,05/20/2011 06:25:00 PM,street,False,1131,11.0,24.0,25.0,41.875039202,-87.743616835
ht383639,07/08/2011 01:57:00 PM,street,False,711,7.0,20.0,68.0,41.783283846,-87.637567068
ht504280,09/19/2011 03:29:00 PM,street,False,322,3.0,6.0,69.0,41.766629425,-87.62332654
ht575599,11/06/2011 07:48:00 PM,street,False,1213,12.0,1.0,24.0,41.902674603,-87.66747411
ht598720,11/23/2011 04:01:00 PM,street,False,735,7.0,17.0,67.0,41.759947729,-87.66365908
hv213223,03/24/2012 10:27:00 PM,alley,False,714,7.0,15.0,67.0,41.780222635,-87.670289648
hv272275,05/05/2012 07:00:00 AM,alley,False,2022,20.0,48.0,77.0,41.984307605,-87.660088247
hv273455,05/06/2012 02:30:00 AM,street,False,1231,12.0,2.0,28.0,41.865194117,-87.660010385
hv278636,05/09/2012 01:55:00 PM,street,False,513,5.0,34.0,49.0,41.69712792,-87.624369795
hv315569,06/02/2012 05:06:00 PM,sidewalk,False,934,9.0,16.0,61.0,41.794876683,-87.662177096
hv348176,06/22/2012 08:39:00 PM,street,False,732,7.0,6.0,68.0,41.767041392,-87.642738852
hv350140,06/24/2012 01:21:00 AM,sidewalk,False,313,3.0,20.0,42.0,41.783285879,-87.605994327
hv436957,08/19/2012 09:52:00 AM,auto,False,1031,10.0,22.0,30.0,41.837880307,-87.72437669
hv445189,08/24/2012 05:42:00 PM,street,False,624,6.0,8.0,44.0,41.750838669,-87.602743669
hv484836,09/21/2012 12:17:00 AM,gangway,False,1422,14.0,26.0,23.0,41.908269183,-87.708322693
