CASE_NUMBER,NUM_CRIMES_DISTRICT,NUM_CRIMES_BEAT,NUM_CRIMES_COMM_AREA,NUM_CRIMES_WARD,NUM_CRIMES_BLOCK,NUM_CRIMES_ZIP_CODE,NUM_CRIMES_STREET_ORG,AREA_INCOME,AREA_ASSAULT_HOMICIDE,AREA_FIREARM,AREA_POVERTY_HEALTH,AREA_HIGH_SCHOOL_DIPLOMA,AREA_UNEMPLOYMENT,AREA_BIRTH_RATE,NUM_OF_DEAD,NUM_OF_ARREST,NUM_OF_VICTIMS,IS_DOMESTIC,NIGHT_CRIME,IS_KILLED_A_CHILD,MULTIPLE_ARRESTS,HAS_STREET_ORGANIZATION,IS_RATIAL,ARRESTED_RACE,VICTIM_RACE,AVER_AGE,AVG_NUM_CHARGES,IMMEDIATE_ARREST,IS_HOMICIDE
hs227745,142,13,56,90,1,145,0,16228,43.9,46.5,24.3,22.6,17.0,15.3,1,1,1,1,0,0,0,0,0,_4102,_4100,35.0,2.0,0,1
hs335199,153,12,52,44,1,185,50,10697,11.1,8.6,28.1,58.7,11.5,19.5,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hs440368,142,20,56,95,1,145,30,16228,43.9,46.5,24.3,22.6,17.0,15.3,1,1,1,1,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hs460541,180,23,101,68,2,117,103,18366,33.4,30.0,31.5,14.9,17.7,15.7,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hs501948,153,11,52,41,2,60,7,10697,11.1,8.6,28.1,58.7,11.5,19.5,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hs586272,44,2,1,16,1,3,0,41509,3.3,6.2,6.1,6.3,5.5,10.0,1,1,1,1,0,0,0,0,0,_1142,_1140,55.0,3.0,0,1
hs600811,213,12,104,126,1,151,101,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
hs614692,106,7,37,87,1,42,26,13087,44.6,39.5,39.1,28.3,23.2,19.3,1,1,1,0,0,0,0,1,0,_1142,_1140,45.0,2.0,0,1
ht202574,142,6,3,90,1,145,0,19007,32.2,32.1,20.1,15.6,21.0,14.3,1,1,1,0,0,0,0,0,0,_1142,_1140,35.0,2.0,0,1
ht243538,213,12,90,107,1,151,12,17213,49.7,44.6,25.6,17.9,18.9,18.2,1,1,1,0,0,0,0,1,0,_1142,_1140,25.0,1.0,0,1
ht305737,295,25,244,156,1,430,44,15920,34.4,28.5,27.0,25.0,21.0,18.0,1,1,2,0,0,0,0,1,0,_1142,mixed,22.5,1.0,0,1
ht383639,213,14,104,126,1,302,202,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,2,0,0,1,0,1,0,_1142,mixed,10.0,1.0,0,1
ht504280,180,17,90,126,2,132,70,17213,49.7,44.6,25.6,17.9,18.9,18.2,0,1,1,0,0,0,0,1,0,_1142,_1140,35.0,2.0,0,0
ht575599,72,5,37,27,1,156,0,39596,8.5,6.6,15.7,13.4,6.0,18.8,1,1,4,0,0,1,0,0,0,_1142,mixed,17.5,4.0,0,1
ht598720,213,15,99,107,1,152,81,10559,47.2,39.3,32.3,30.3,34.7,20.3,1,2,1,0,0,0,1,1,0,mixed,_1140,25.0,1.0,0,1
hv213223,213,9,99,69,1,152,81,10559,47.2,39.3,32.3,30.3,34.7,20.3,1,2,1,0,0,0,1,1,0,mixed,_1140,45.0,1.0,0,1
hv272275,24,3,8,14,1,6,0,33364,5.8,3.9,16.6,9.0,9.0,12.1,1,1,1,0,0,0,0,0,0,_1142,_1140,45.0,1.0,0,1
hv273455,72,5,43,43,2,60,0,41488,12.7,9.3,21.6,11.2,10.7,18.2,1,1,1,0,0,0,0,0,0,_1142,_1140,35.0,1.0,0,1
hv278636,142,7,75,95,1,145,0,17974,40.9,37.7,19.5,17.4,17.8,14.3,1,1,1,0,0,0,0,0,0,_1142,_1140,25.0,1.0,0,1
hv315569,165,24,83,118,3,139,84,12524,26.6,24.6,30.6,42.4,17.4,21.4,0,1,1,0,0,0,0,1,0,_1142,_1140,25.0,2.0,0,0
hv348176,213,12,104,126,1,151,101,11993,45.1,44.9,42.2,29.4,21.3,20.0,1,1,1,0,0,1,0,1,0,_1142,_1140,10.0,1.0,0,1
